Curso,Disciplina,Aula,Título da Aula,Objetivo de Aprendizagem,Conteúdo Estruturado,Conceitos-Chave,Exemplos Práticos,Exercícios,Nível de Dificuldade,Pré-requisitos,Carga Horária,Roteiro de Vídeo,Referências Técnicas
Técnico em Enfermagem,Ética Profissional,11,A Base Ética da Enfermagem,Refletir sobre as dimensões éticas e bioéticas do agir profissional.,Introdução ao tema: A dimensão ética do cuidar .  +1Fundamentação teórica: Tomada de decisão com autonomia e discernimento .  +1Aplicação prática: Resolução de conflitos de forma rápida e com participação coletiva .  +2Erros comuns: Agir de forma mecânica sem integrar os processos de consciência e empatia .  +1Resumo final: O agir ético garante a segurança do profissional e a excelência na assistência primária.  +1,Bioética; Autonomia Profissional.  +1,Utilizar os princípios bioéticos para decidir sobre a prioridade em uma triagem de unidade de saúde.  +1,1. Como as dimensões éticas e bioéticas influenciam a tomada de decisão do enfermeiro?.  +1,Básico,Nenhum,10 minutos,"Abertura: ""A ética é o escudo invisível que protege a sua carreira.""Explicação didática progressiva: Autonomia, discernimento e a bioética no dia a dia .  +1Exemplo prático narrado: Mediar um conflito bioético com participação da equipe.  +2Recapitulação: Consciência e coragem.Encerramento: A ética é o norte da sua bússola clínica.",Artigo SciELO: Segurança do profissional e problemas éticos.  +4
Técnico em Enfermagem,Ética Profissional,12,O Código de Ética e Leis,Entender o Código de Ética e a responsabilidade social do enfermeiro.,"Introdução ao tema: A regulamentação da prática de enfermagem.Fundamentação teórica: O Código de Ética dos Profissionais de Enfermagem (CEPE) .  +2Aplicação prática: Exercer a profissão com liberdade, segurança técnica e ambiental .  +1Erros comuns: Desconhecer os direitos de atuar em um ambiente livre de riscos .  Resumo final: O CEPE visa garantir o respeito à dignidade humana e proteger os direitos profissionais.  ",CEPE; Direitos profissionais.  +1,Exigir condições seguras de trabalho (EPIs) baseando-se no Art. 2º do CEPE.,"1. Segundo o Art. 1º do CEPE, quais os pressupostos para o exercício da enfermagem?.  +1",Intermediário,Aula 11,12 minutos,"Abertura: ""Você sabe o que o Conselho de Enfermagem garante a você?""Explicação didática progressiva: Princípios fundamentais do CEPE e defesa de políticas públicas .  +1Exemplo prático narrado: O direito a um ambiente de trabalho livre de violência .  Recapitulação: Liberdade, segurança técnica e científica.  +1Encerramento: O código é seu dever e seu direito.",Resolução COFEN Nº 564/2017.  +1
Técnico em Enfermagem,Ética Profissional,13,Sigilo na Prática,Aplicar o sigilo profissional em todos os níveis da assistência.,"Introdução ao tema: A confiança entre o paciente e o profissional.Fundamentação teórica: Abster-se de revelar informações confidenciais do paciente .  Aplicação prática: Utilizar meios de comunicação restritos para passagem de plantão, assegurando o anonimato externo .  Erros comuns: Comentar casos clínicos em ambientes públicos (corredores, elevadores) .  Resumo final: O sigilo é um direito do paciente assegurado ética e legalmente no CEPE.  ",Confidencialidade; Exercício Profissional.,Recusar repassar informações clínicas de um paciente pelo telefone para alguém que não foi autorizado.,1. O que diz o Artigo 12 do Código de Ética sobre informações confidenciais?.,Alto,Aula 12,11 minutos,"Abertura: ""O prontuário é do paciente, o sigilo é sua obrigação.""Explicação didática progressiva: As bases da confidencialidade na enfermagem.  Exemplo prático narrado: O risco de falar de pacientes fora do setor.Recapitulação: Exceções estritas da quebra de sigilo.Encerramento: Seu silêncio gera confiança.",Recomendações Cofen.
Técnico em Enfermagem,Ética Profissional,14,Infrações Comuns e Redes Sociais,Evitar a exposição antiética e penalizações através do uso de redes.,Introdução ao tema: O impacto digital na ética da saúde.Fundamentação teórica: Condutas antiéticas em redes sociais estabelecidas pelo Coren .  +2Aplicação prática: Não expor a figura do paciente como divulgação de técnica ou tratamento sem autorização expressa .  +2Erros comuns: Divulgar imagens sensacionalistas ou informações que causam pânico .  +2Resumo final: O uso de redes sociais por enfermeiros exige responsabilidade para não gerar infrações.  +2,Sensacionalismo; Redes Sociais.  +3,"Evitar postar fotos do ambiente cirúrgico ou ferimentos para ""ganhar curtidas"" no Instagram.  +1",1. Cite duas práticas proibidas pelo conselho referentes ao uso de imagens de pacientes.  +1,Básico,Aula 13,10 minutos,"Abertura: ""Um clique pode acabar com o seu registro profissional.""Explicação didática progressiva: Diretrizes do Coren sobre mídias e sensacionalismo .  +1Exemplo prático narrado: Postar foto técnica que causa pânico social.  +1Recapitulação: O paciente não é ""conteúdo"".Encerramento: A ética continua valendo no mundo virtual.",Coren-RJ: Condutas antiéticas nas redes.  +2
Técnico em Enfermagem,Ética Profissional,15,Resumo: Humanização e Lei,Articular o Código de Ética aos valores de humanização no cuidado.,"Introdução ao tema: A convergência entre a lei e a empatia.Fundamentação teórica: A Enfermagem é comprometida com a produção e gestão do cuidado .  +1Aplicação prática: Promover o ser humano em sua integralidade, respeitando a Bioética e defendendo Políticas Públicas .  +1Erros comuns: Tratar o Código de Ética apenas como punitivo, esquecendo sua base humanística .  Resumo final: O cuidado é executado na prática social e cotidiana de assistir com justiça e competência.  +1",Integralidade; Prática Social.  +2,A união da técnica perfeita com a honestidade e a lealdade durante um atendimento complexo.,1. Como o CEPE define a base do conhecimento para o cuidado da Enfermagem?.,Básico,Aula 14,9 minutos,"Abertura: ""A ética e a lei caminham lado a lado com a humanização.""Explicação didática progressiva: Promoção da pessoa em sua integralidade e bioética .  +1Exemplo prático narrado: Defesa das políticas públicas na atenção básica .  +1Recapitulação: A enfermagem como prática social.  Encerramento: O cuidado humanizado é respaldado pela lei.",Resolução COFEN Nº 564/2017.  +1
Técnico em Enfermagem,Anatomia e Fisiologia I,16,Introdução à Estrutura Corporal,Relacionar a morfofisiologia aplicada à execução do cuidado diário.,Introdução ao tema: O conhecimento anatômico na clínica.Fundamentação teórica: A morfofisiologia aplicada é a base para identificar anormalidades estruturais .  +2Aplicação prática: Avaliação da barreira de proteção (tegumentar) e prevenção de lesões .  Erros comuns: Fazer a higiene do paciente sem realizar a inspeção tegumentar .  Resumo final: O domínio do corpo humano transforma a técnica em um ato consciente.  +2,Morfofisiologia; Inspeção tegumentar.  +3,Avaliar o sistema tegumentar durante o banho no leito para detectar áreas de pressão precocemente.,1. Por que a inspeção do sistema tegumentar é vital na enfermagem?.  +1,Intermediário,Nenhum,10 minutos,"Abertura: ""Cuidar exige conhecer as engrenagens do corpo.""Explicação didática progressiva: A estrutura macroscópica e os sistemas corporais básicos .  +2Exemplo prático narrado: Avaliando a pele e as articulações durante o banho .  Recapitulação: Prevenção de lesões por pressão.  Encerramento: A anatomia não é decoreba, é sua ferramenta clínica.",Tratado Multidimensional.  +2
Técnico em Enfermagem,Anatomia e Fisiologia I,17,Sistemas de Sustentação e Comando,Avaliar as interações nervosas e ósseas no manejo de pacientes.,"Introdução ao tema: Os sistemas que movem e controlam o paciente.Fundamentação teórica: Sistema esquelético e nervoso e suas funções principais .  +1Aplicação prática: Manejo de traumas, imobilizações e avaliação do nível de consciência (Glasgow) .  Erros comuns: Desconhecer a mecânica corporal na hora de realizar mudanças de decúbito.Resumo final: Sustentação e comando são cruciais para a estabilidade neurológica e motora.  ",Sustentação; Escala de Glasgow.  +1,Utilizar os conhecimentos do sistema nervoso para aplicar e interpretar a Escala de Glasgow.,1. Qual é a principal implicação clínica da avaliação do sistema nervoso pela equipe de enfermagem?.,Alto,Aula 16,13 minutos,"Abertura: ""O que mantém o paciente estável e consciente?""Explicação didática progressiva: Anatomia do sistema esquelético e do sistema nervoso central .  Exemplo prático narrado: A avaliação rápida do trauma e nível de consciência.  Recapitulação: Da imobilização ao exame neurológico.Encerramento: Proteja o eixo do corpo.",Tratado Multidimensional.
Técnico em Enfermagem,Anatomia e Fisiologia I,18,Anatomia Aplicada a Procedimentos,Executar procedimentos invasivos ancorados no conhecimento anatômico.,"Introdução ao tema: Anatomia guiando a técnica.Fundamentação teórica: Conhecimento exato de nervos, veias e músculos .  Aplicação prática: Injeção intramuscular no quadrante superior externo da região glútea .  Erros comuns: Punções cegas sem verificar os pontos de referência anatômicos.Resumo final: A anatomia aplicada a procedimentos é o conhecimento que previne iatrogenias.  +1",Quadrante glúteo; Iatrogenia.  +1,Identificar através da palpação óssea o local correto para administrar medicação sem causar danos nervosos.,1. Em qual região anatômica específica deve ser aplicada a injeção intramuscular glútea para segurança?.,Alto,Aula 17,15 minutos,"Abertura: ""A anatomia é o mapa que evita o erro fatal.""Explicação didática progressiva: Como mapear o corpo antes de furar .  Exemplo prático narrado: Desenhando o quadrante superior externo do glúteo para a via IM.  Recapitulação: A barreira de segurança anatômica.Encerramento: A ciência protege a agulha.",Tratado Multidimensional.
Técnico em Enfermagem,Anatomia e Fisiologia I,19,Erros de Localização Anatômica,"Prevenir falhas mecânicas severas, como danos nervosos.",Introdução ao tema: O preço do erro anatômico.Fundamentação teórica: Lesão do nervo ciático por punção .  Aplicação prática: Conferência dupla de sítios de aplicação antes do preparo .  Erros comuns: Causar dor crônica ou paralisia por aplicação muito baixa ou central no glúteo .  Resumo final: Erros de localização anatômica são causas evitáveis de iatrogenias graves.,Lesão Ciática; Causas evitáveis.  +1,Revisar protocolos institucionais de administração e aplicar rodízio de sítios com segurança.,1. O que é uma iatrogenia grave no contexto da aplicação intramuscular? Dê um exemplo.,Intermediário,Aula 18,10 minutos,"Abertura: ""Um milímetro para o lado e o paciente pode perder o movimento da perna.""Explicação didática progressiva: A patologia da lesão ciática .  Exemplo prático narrado: Um caso de iatrogenia evitável.  Recapitulação: Consequências legais e clínicas da má técnica.Encerramento: O erro não tem vez quando o conhecimento atua.",Tratado Multidimensional.
Técnico em Enfermagem,Administração de Unidades de Enfermagem,20,"Resumo: Setor Organizado, Paciente Seguro",Reconhecer como a gestão do espaço físico reflete no controle de riscos.,"Introdução ao tema: A organização do espaço como terapêutica.Fundamentação teórica: O controle de infecção e a disciplinarização do ambiente .  Aplicação prática: Manutenção do posto de enfermagem organizado, com protocolos em locais próprios e limpos .  +1Erros comuns: Manter papéis, impressos e lixo orgânico espalhados pelo balcão de prescrição .  Resumo final: Um espaço organizado centraliza e garante a manutenção segura das práticas terapêuticas em estado grave.  +2",Disciplinarização; Organização do Posto.  +3,"Retirar lixos, copos e rascunhos da mesa de prescrição para evitar acidentes e perda de documentos.  ",1. Quais os perigos da desorganização visual e física do posto de enfermagem numa UTI?.,Básico,Nenhum,11 minutos,"Abertura: ""A cura começa na organização do balcão de enfermagem.""Explicação didática progressiva: A materialidade do setor e a presença de protocolos/livros .  +1Exemplo prático narrado: O impacto de uma área desorganizada na agilidade do plantão.  Recapitulação: Manutenção da higiene de equipamentos e estações.Encerramento: Ambiente limpo, mente clara.",A Integralidade nas Práticas de Controle de Infecção.  +3
Técnico em Enfermagem,Matemática Aplicada,21,A Matemática que Salva Vidas,Entender os cálculos como fator primordial de segurança na medicação.,"Introdução ao tema: O cálculo seguro de medicações.Fundamentação teórica: Segurança na prescrição, uso e administração .  +1Aplicação prática: Identificar o usuário antes de administrar, para garantir a precisão do cuidado e do cálculo infundido .  Erros comuns: Confundir dosagens de homônimos na hora do preparo .  +1Resumo final: A identificação e a checagem correta dos insumos previnem falhas operacionais.  +1",Segurança na Prescrição; Identificação Correta.  +2,"Antes de administrar um gotejamento, verificar o nome do paciente, a pulseira e a dosagem do rótulo.  +1","1. Por que, matematicamente e na rotina de segurança, a identificação do paciente vem antes do cálculo da dose?.  +1",Intermediário,N/A,10 minutos,"Abertura: ""Seu erro de cálculo vai parar direto na corrente sanguínea de alguém.""Explicação didática progressiva: Os protocolos de segurança e a checagem dupla .  +1Exemplo prático narrado: A confusão entre leitos e homônimos antes de infundir o soro.  +2Recapitulação: Confirmar a pulseira e a etiqueta.Encerramento: A matemática sem verificação é cega.",Segurança do Paciente (SES/DF).  +1
Técnico em Enfermagem,Matemática Aplicada,22,Regra de Três e Conversões,Executar regras de três para precisão na dosagem e conversões métricas.,Introdução ao tema: A introdução precisa de medicamentos.Fundamentação teórica: A responsabilidade pelas informações e conhecimentos no preparo .  Aplicação prática: Conversão de unidades lidas na prescrição para o miligrama ou micrograma disponível na ampola .  +1Erros comuns: Dúvidas e insegurança no processo de conversão causando administração errada .  +1Resumo final: O domínio matemático dissipa incertezas e mitiga erros gravíssimos.  +1,Conversão de Unidades; Preparo Seguro.  +1,"Realizar o cálculo de uma ampola que traz mg/ml, mas foi prescrita em volume menor.  +1",1. Como a insegurança no processo de cálculo impacta o paciente diretamente?.  +1,Alto,Aula 21,15 minutos,"Abertura: ""Não tenha medo dos números, tenha medo de não saber usá-los.""Explicação didática progressiva: Conversão de g para mg para mcg .  +1Exemplo prático narrado: Montando a regra de três no quadro para descobrir os ml's da ampola .  +1Recapitulação: A técnica vence a insegurança.  +1Encerramento: Multiplique a atenção, divida o risco.",Cálculo de Medicamentos Coren-BA.  +1
Técnico em Enfermagem,Matemática Aplicada,23,Cálculo de Gotejamento,Manejar bombas e equipos conforme a velocidade fisiológica prescrita.,"Introdução ao tema: A disciplinarização do horário e velocidade.Fundamentação teórica: Horários de medicação e tempo de gotejamento na manutenção da eficácia das drogas .  Aplicação prática: Cálculo de macrogotas e microgotas para infusões contínuas no setor .  Erros comuns: Priorizar outros cuidados e esquecer o controle da vazão da medicação, alterando seu efeito .  Resumo final: A soroterapia exige respeito estrito à matemática do tempo para assegurar a efetividade clínica.  ",Gotejamento Contínuo; Efetividade das Drogas.,"Reprogramar a taxa de infusão de um soro que atrasou, calculando as novas gotas/minuto para finalizar no turno.  ",1. Por que o respeito à matemática do tempo/vazão é crucial para as drogas utilizadas?.,Alto,Aula 22,14 minutos,"Abertura: ""Correr rápido demais mata, correr devagar demais não faz efeito.""Explicação didática progressiva: Fórmulas de tempo vs. volume. A importância do horário .  Exemplo prático narrado: Ajustando o equipo macrogotas à beira leito.Recapitulação: A prioridade dos medicamentos críticos.  Encerramento: Cada gota importa no balanço total.",Controle de Infecção e Disciplina.
Técnico em Enfermagem,Matemática Aplicada,24,O Perigo da Superdosagem,Reconhecer o erro matemático como infração ética e causa de iatrogenias.,"Introdução ao tema: Riscos e falhas no preparo.Fundamentação teórica: A ação do profissional depende de consciência e segurança técnica .  Aplicação prática: Dupla checagem da prescrição no registro com hora, dose e via para evitar repetições .  +1Erros comuns: Não anotar que a dose já foi dada, causando superdosagem pelo colega do próximo turno .  +1Resumo final: A anotação minuciosa (dosagem/quantidade) impede superdosagens acidentais e reações adversas graves.  +4",Iatrogenia; Superdosagem; Dupla Checagem.  +1,"Após calcular a medicação, registrar os miligramas precisos e a hora no sistema.  +1",1. Explique como a ausência de registro da dose dada na evolução pode gerar uma superdosagem no próximo turno.,Alto,Aula 23,12 minutos,"Abertura: ""A medicação aplicada não registrada é um erro duplo.""Explicação didática progressiva: Por que a falta de registro causa redosagem .  Exemplo prático narrado: A reação grave por dose dobrada não checada .  +1Recapitulação: Hora, dose, via e reação.  +1Encerramento: Segurança se faz com matemática e escrita.",Os 13 certos da medicação.  +1
Técnico em Enfermagem,Matemática Aplicada,25,Resumo: O Domínio dos Números,Consolidar a teoria matemática aplicada ao cuidado integral.,"Introdução ao tema: A revisão da introdução de fármacos .  +1Fundamentação teórica: Obtenção de efeitos terapêuticos plenos .  +1Aplicação prática: Aplicação de checklists matemáticos pré-infusão, superando a dúvida .  +1Erros comuns: Hesitar e não buscar confirmação quando há incerteza sobre o cálculo .  +1Resumo final: Consciência matemática eleva o nível técnico e preserva a vida humana.  ",Efeito Terapêutico; Consciência e Segurança.  +2,Usar uma calculadora simples de bolso no posto de enfermagem em caso de incerteza da diluição.  +1,"1. Por que ""dúvida, incerteza e insegurança"" são considerados os maiores fatores de risco na administração de drogas?.  +1",Intermediário,Aula 24,9 minutos,"Abertura: ""O fechamento do ciclo medicamentoso: você é o último filtro.""Explicação didática progressiva: Superando a insegurança técnica com revisões e tabelas .  +1Exemplo prático narrado: A postura ideal de um técnico seguro .  Recapitulação: Preparo e introdução para sucesso da terapia.  +1Encerramento: Cuidar é uma equação de amor e exatidão.",Cálculo de Medicamentos Coren-BA.  +1
Técnico em Enfermagem,Método de Pesquisa,26,Ciência Baseando a Prática,Compreender como as bases científicas formulam as rotinas da assistência.,"Introdução ao tema: Enfermagem como prática baseada em fatos e leis.Fundamentação teórica: A pesquisa delineia as ideias e metodologias sobre um problema investigado .  Aplicação prática: Buscar resoluções de problemas em saúde adaptando para a realidade sociocultural do usuário .  Erros comuns: Restringir-se à informação teórico-científica sem traduzi-la para a realidade prática e territorial .  Resumo final: A ciência fornece a técnica, mas ela precisa ser adaptada à comunidade.  ",Método Investigativo; Realidade Sociocultural.  +1,Utilizar os dados de um estudo nacional de vacinas e criar um plano para aplicar no posto local.,1. Como a tradução da pesquisa científica se aplica na resolução de problemas de um território específico?.,Básico,N/A,11 minutos,"Abertura: ""Como a pesquisa sai do laboratório e chega no posto de saúde?""Explicação didática progressiva: A base do projeto de pesquisa e o papel da ciência .  Exemplo prático narrado: Adaptando um estudo de controle de epidemias para o contexto de um bairro carente.  Recapitulação: A união da técnica com a cultura.Encerramento: Ciência viva é ciência útil.",Normas ABNT; Normas de Vacinação.  +1
